ID,YEAR,INCOM16,CONINC,DEGREE,PADEG,MADEG,SPDEG,MAWRKGRW,FEFAM,FECHLD,CONPRESS,CONJUDGE,CONLEGIS,GOD,HAPPY,NATENVIY,EQWLTH,ABANY,CAPPUN,RES16,NATEDUCY
1287,1976,9,90726,4,7,7,4,0,0,0,2,1,3,0,1,0,0,0,1,6,0
1282,1976,2,63848,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,1,0
1091,1976,3,0,1,3,3,3,0,0,0,1,2,3,0,3,0,0,0,1,3,0
668,1976,2,63848,1,0,0,1,0,0,0,1,3,3,0,1,0,0,0,1,2,0
42,1976,4,18445,1,1,1,7,0,0,0,3,8,2,0,2,0,0,0,1,4,0
1049,1976,2,5675,0,0,7,7,0,0,0,2,1,2,0,2,0,0,0,1,3,0
1573,1976,3,49659,1,0,0,1,0,0,0,2,2,2,0,3,0,0,0,1,5,0
1059,1976,3,35471,0,0,0,1,0,0,0,1,2,1,0,2,0,0,0,2,6,0
111,1976,3,49659,1,0,1,0,0,0,0,2,1,2,0,1,0,0,0,1,3,0
1262,1976,3,35471,0,7,9,1,0,0,0,1,2,1,0,1,0,0,0,8,3,0
1311,1976,3,49659,1,0,1,1,0,0,0,2,2,2,0,2,0,0,0,1,4,0
256,1976,3,9932,1,0,1,7,0,0,0,1,1,1,0,2,0,0,0,1,5,0
242,1976,3,49659,1,7,1,1,0,0,0,1,2,2,0,3,0,0,0,2,1,0
1693,1976,3,9932,0,8,8,7,0,0,0,2,8,8,0,2,0,0,0,2,2,0
1038,1976,3,63848,1,0,0,4,0,0,0,2,1,2,0,1,0,0,0,1,5,0
1379,1976,2,18445,0,0,0,7,0,0,0,2,1,3,0,3,0,0,0,2,3,0
1063,1976,3,9932,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,1,3,0
1089,1976,1,18445,1,8,0,7,0,0,0,2,1,2,0,2,0,0,0,1,4,0
1123,1976,3,0,0,8,0,0,0,0,0,2,2,2,0,2,0,0,0,1,6,0
532,1976,5,49659,3,9,9,1,0,0,0,1,1,3,0,2,0,0,0,2,4,0
1142,1976,3,63848,1,0,0,0,0,0,0,2,2,3,0,2,0,0,0,1,2,0
1337,1976,3,90726,1,7,3,1,0,0,0,2,3,3,0,2,0,0,0,1,1,0
427,1976,2,15607,1,7,1,7,0,0,0,2,2,2,0,2,0,0,0,2,5,0
1601,1976,4,90726,1,1,1,7,0,0,0,1,1,1,0,2,0,0,0,2,4,0
580,1976,2,63848,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,1,4,0
1350,1976,3,15607,2,1,1,7,0,0,0,1,2,2,0,2,0,0,0,1,3,0
359,1976,4,35471,3,1,1,7,0,0,0,1,1,2,0,1,0,0,0,2,1,0
1661,1976,3,12770,3,0,0,7,0,0,0,1,8,1,0,2,0,0,0,1,3,0
463,1976,2,18445,1,0,0,0,0,0,0,2,8,8,0,1,0,0,0,1,2,0
1738,1976,3,21283,0,0,0,0,0,0,0,3,3,3,0,1,0,0,0,1,3,0
1566,1976,3,63848,1,0,1,7,0,0,0,3,1,3,0,1,0,0,0,1,6,0
347,1976,2,5675,1,0,0,0,0,0,0,9,9,9,0,3,0,0,0,1,6,0
146,1976,3,18445,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,2,2,0
1435,1976,2,15607,0,1,0,0,0,0,0,1,2,8,0,2,0,0,0,2,1,0
108,1976,2,18445,1,0,0,7,0,0,0,1,1,2,0,1,0,0,0,1,2,0
595,1976,4,35471,1,1,7,1,0,0,0,1,2,1,0,2,0,0,0,2,3,0
292,1976,1,15607,0,1,8,7,0,0,0,1,1,2,0,2,0,0,0,2,4,0
1364,1976,1,9932,0,7,0,0,0,0,0,2,3,3,0,2,0,0,0,1,3,0
1613,1976,5,63848,1,3,1,4,0,0,0,1,2,2,0,2,0,0,0,1,5,0
440,1976,2,25539,1,1,1,1,0,0,0,1,3,1,0,1,0,0,0,1,3,0
1141,1976,3,63848,1,0,1,7,0,0,0,1,2,2,0,3,0,0,0,2,4,0
203,1976,2,35471,1,8,8,1,0,0,0,3,2,2,0,2,0,0,0,1,6,0
1456,1976,3,25539,1,0,0,1,0,0,0,1,2,3,0,1,0,0,0,2,3,0
231,1976,2,0,0,0,8,0,0,0,0,2,3,2,0,2,0,0,0,8,3,0
1715,1976,2,63848,3,1,1,1,0,0,0,2,1,2,0,1,0,0,0,1,3,0
188,1976,1,18445,0,7,0,0,0,0,0,2,2,1,0,2,0,0,0,1,3,0
140,1976,3,25539,1,0,1,1,0,0,0,2,3,2,0,2,0,0,0,1,5,0
